Most used words by  T-Pain: 
2155. gps - 3 uses.
2156. shay - 3 uses.
2157. gunna - 3 uses.
2158. mrs - 3 uses.
2159. pleasure - 3 uses.
2160. regrets - 3 uses.
2161. ye-yeah - 3 uses.
2162. cent - 3 uses.
2163. exotic - 3 uses.
2164. jealous - 3 uses.
2165. pool - 3 uses.
2166. hail - 3 uses.
2167. mary - 3 uses.
2168. issues - 3 uses.
2169. ability - 3 uses.
2170. ah-ha - 3 uses.
2171. buss - 3 uses.
2172. battle - 3 uses.
2173. coulda - 3 uses.
2174. bouncin - 3 uses.
2175. capos - 3 uses.
2176. dons - 3 uses.
2177. choppa - 3 uses.
2178. jit - 3 uses.
2179. beginnin - 3 uses.
2180. committed - 3 uses.
2181. omerta - 3 uses.
2182. victim - 3 uses.
2183. gether - 3 uses.
2184. apply - 3 uses.
2185. looky - 3 uses.
2186. japanese - 3 uses.
2187. severe - 3 uses.
2188. wannabes - 3 uses.
2189. program - 3 uses.
2190. tonights - 3 uses.
2191. techno - 3 uses.
2192. electronica - 3 uses.
2193. commandments - 3 uses.
2194. kidding - 3 uses.
2195. stat - 3 uses.
2196. partner - 3 uses.
2197. messing - 3 uses.
2198. motivated - 3 uses.
2199. morn - 3 uses.
2200. automatically - 3 uses.
2201. foolin - 3 uses.
2202. screwin - 3 uses.
2203. tribulations - 3 uses.
2204. musiq - 3 uses.
2205. licked - 2 uses.
2206. digits - 2 uses.
2207. granny - 2 uses.
2208. santa - 2 uses.
2209. islands - 2 uses.
2210. laptop - 2 uses.
2211. signs - 2 uses.
2212. barber - 2 uses.
2213. spirit - 2 uses.
2214. skies - 2 uses.
2215. limit - 2 uses.
2216. prime - 2 uses.
2217. speaking - 2 uses.
2218. mommy - 2 uses.
2219. children - 2 uses.
2220. stone - 2 uses.
2221. erything - 2 uses.
2222. snoop - 2 uses.
2223. laying - 2 uses.
2224. win-win - 2 uses.
2225. group - 2 uses.
2226. legacy - 2 uses.
2227. floating - 2 uses.
2228. grindin - 2 uses.
2229. visit - 2 uses.
2230. plastic - 2 uses.
2231. commin - 2 uses.
2232. tatted - 2 uses.
2233. bones - 2 uses.
2234. two-twos - 2 uses.
2235. baseball - 2 uses.
2236. stats - 2 uses.
2237. roger - 2 uses.
2238. mask - 2 uses.
2239. kept - 2 uses.
2240. nose - 2 uses.
2241. dive - 2 uses.
2242. triple - 2 uses.
2243. rocks - 2 uses.
2244. lime - 2 uses.
2245. wednesday - 2 uses.
2246. freeway - 2 uses.
2247. burnt - 2 uses.
2248. empty - 2 uses.
2249. distance - 2 uses.
2250. tomar - 2 uses.
2251. log - 2 uses.
2252. cabin - 2 uses.
2253. aspen - 2 uses.
2254. nuttin - 2 uses.
2255. condo - 2 uses.
2256. toronto - 2 uses.
2257. coat - 2 uses.
2258. flowers - 2 uses.
2259. fuego - 2 uses.
2260. hehe - 2 uses.
2261. brothers - 2 uses.
2262. hollerin - 2 uses.
2263. suite - 2 uses.
2264. model - 2 uses.
2265. 2x - 2 uses.
2266. w/ - 2 uses.
2267. — - 2 uses.
2268. tron - 2 uses.
2269. snicker - 2 uses.
2270. stackll - 2 uses.
2271. jiggle - 2 uses.
2272. floyd - 2 uses.
2273. fours - 2 uses.
2274. writing - 2 uses.
2275. relationship - 2 uses.
2276. fires - 2 uses.
2277. crunches - 2 uses.
2278. punching - 2 uses.
2279. pilates - 2 uses.
2280. whoaaohhohhwhoah - 2 uses.
2281. addicted - 2 uses.
2282. shh - 2 uses.
2283. excited - 2 uses.
2284. whores - 2 uses.
2285. breaks - 2 uses.
2286. steering - 2 uses.
2287. gotten - 2 uses.
2288. heh - 2 uses.
2289. gas - 2 uses.
2290. pregnant - 2 uses.
2291. aids - 2 uses.
2292. y - 2 uses.
2293. eventually - 2 uses.
2294. beatin - 2 uses.
2295. anytime - 2 uses.
2296. questions - 2 uses.
2297. sounds - 2 uses.
2298. busting - 2 uses.
2299. whipping - 2 uses.
2300. chickens - 2 uses.
2301. handsome - 2 uses.
2302. wealthy - 2 uses.
2303. trees - 2 uses.
2304. rats - 2 uses.
2305. los - 2 uses.
2306. angeles - 2 uses.
2307. spatula - 2 uses.
2308. present - 2 uses.
2309. epiphany - 2 uses.
2310. philly - 2 uses.
2311. code - 2 uses.
2312. greens - 2 uses.
2313. chest - 2 uses.
2314. tho - 2 uses.
2315. detail - 2 uses.
2316. fifteen - 2 uses.
2317. goose - 2 uses.
2318. tall - 2 uses.
2319. ignore - 2 uses.
2320. biggest - 2 uses.
2321. watches - 2 uses.
2322. beside - 2 uses.
2323. necklace - 2 uses.
2324. stainless - 2 uses.
2325. wars - 2 uses.
2326. showed - 2 uses.
2327. opportunity - 2 uses.
2328. knockin - 2 uses.
2329. buddies - 2 uses.
2330. lovers - 2 uses.
2331. border - 2 uses.
2332. crumbs - 2 uses.
2333. exist - 2 uses.
2334. bullet - 2 uses.
2335. self - 2 uses.
2336. language - 2 uses.
2337. factory - 2 uses.
2338. mothafuckas - 2 uses.
2339. snatch - 2 uses.
2340. tub - 2 uses.
2341. surrounded - 2 uses.
2342. dealers - 2 uses.
2343. enemies - 2 uses.
2344. slipping - 2 uses.
2345. shitting - 2 uses.
2346. hearin - 2 uses.
2347. suprise - 2 uses.
2348. wonderin - 2 uses.
2349. llac - 2 uses.
2350. jack - 2 uses.
2351. dessert - 2 uses.
2352. bap - 2 uses.
2353. starve - 2 uses.
2354. twenties - 2 uses.
2355. fifties - 2 uses.
2356. cheeks - 2 uses.
2357. houston - 2 uses.
2358. glove - 2 uses.
2359. max - 2 uses.
2360. buck - 2 uses.
2361. purpose - 2 uses.
2362. lobster - 2 uses.
2363. virgin - 2 uses.
2364. raw - 2 uses.
2365. pit - 2 uses.
2366. notes - 2 uses.
2367. pencil - 2 uses.
2368. personal - 2 uses.
2369. interests - 2 uses.
2370. defeat - 2 uses.
2371. crews - 2 uses.
2372. question - 2 uses.
2373. carter - 2 uses.
2374. motherfuck - 2 uses.
2375. metal - 2 uses.
2376. fella - 2 uses.
2377. cater - 2 uses.
2378. minds - 2 uses.
2379. ade - 2 uses.
2380. hesitation - 2 uses.
2381. 4sho - 2 uses.
2382. county - 2 uses.
2383. homeboy - 2 uses.
2384. loves - 2 uses.
2385. flare - 2 uses.
2386. larry - 2 uses.
2387. rocky - 2 uses.
2388. wop - 2 uses.
2389. theyll - 2 uses.
2390. bone - 2 uses.
2391. covered - 2 uses.
2392. doo - 2 uses.
2393. wack - 2 uses.
2394. rappin - 2 uses.
2395. tube - 2 uses.
2396. lube - 2 uses.
2397. sock - 2 uses.
2398. also - 2 uses.
2399. truly - 2 uses.
2400. colder - 2 uses.
2401. buildin - 2 uses.
2402. shovel - 2 uses.
2403. nina - 2 uses.
2404. lies - 2 uses.
2405. wings - 2 uses.
2406. ba-ba-bangladesh - 2 uses.
2407. gangstas - 2 uses.
2408. traffic - 2 uses.
2409. jam - 2 uses.
2410. evening - 2 uses.
2411. usa - 2 uses.
2412. montana - 2 uses.
2413. couldve - 2 uses.
2414. hol - 2 uses.
2415. cancer - 2 uses.
2416. upside - 2 uses.
2417. porn - 2 uses.
2418. mc - 2 uses.
2419. {lil - 2 uses.
2420. weezy} - 2 uses.
2421. t-peezy - 2 uses.
2422. mula - 2 uses.
2423. hos - 2 uses.
2424. vvss - 2 uses.
2425. kicked - 2 uses.
2426. bible - 2 uses.
2427. oath - 2 uses.
2428. moved - 2 uses.
2429. rump - 2 uses.
2430. shaker - 2 uses.
2431. noise - 2 uses.
2432. copper - 2 uses.
2433. handcuffs - 2 uses.
2434. dresser - 2 uses.
2435. ruin - 2 uses.
2436. folk - 2 uses.
2437. microphone - 2 uses.
2438. melt - 2 uses.
2439. area - 2 uses.
2440. choice - 2 uses.
2441. erbody - 2 uses.
2442. royce - 2 uses.
2443. worked - 2 uses.
2444. saved - 2 uses.
2445. shoulder - 2 uses.
2446. chop-screw-screwed - 2 uses.
2447. chop-chop - 2 uses.
2448. dont-dont - 2 uses.
2449. cuddle - 2 uses.
2450. breaker - 2 uses.
2451. lead - 2 uses.
2452. flirt - 2 uses.
2453. tease - 2 uses.
2454. jamaican - 2 uses.
2455. rice - 2 uses.
2456. curry - 2 uses.
2457. soda - 2 uses.
2458. asian - 2 uses.
2459. sleepin - 2 uses.
2460. weapon - 2 uses.
2461. trigger - 2 uses.
2462. ratchet - 2 uses.
2463. tour - 2 uses.
2464. yayyy - 2 uses.
2465. yeahh - 2 uses.
2466. {erybody - 2 uses.
2467. club} - 2 uses.
2468. frozen - 2 uses.
2469. don - 2 uses.
2470. washed - 2 uses.
2471. rewind - 2 uses.
2472. rhymes - 2 uses.
2473. wackiness - 2 uses.
2474. whack - 2 uses.
2475. hurts - 2 uses.
2476. lyrical - 2 uses.
2477. flying - 2 uses.
2478. truths - 2 uses.
2479. sedated - 2 uses.
2480. thug - 2 uses.
2481. halloween - 2 uses.
2482. kk - 2 uses.
2483. sisters - 2 uses.
2484. permanent - 2 uses.
2485. dead-dead - 2 uses.
2486. twenty-four - 2 uses.
2487. backwards - 2 uses.
2488. except - 2 uses.
2489. obvious - 2 uses.
2490. kanye - 2 uses.
2491. laughin - 2 uses.
2492. muthafuckas - 2 uses.
2493. stars - 2 uses.
2494. dats - 2 uses.
2495. disrespect - 2 uses.
2496. actin-actin - 2 uses.
2497. yeaaa - 2 uses.
2498. teach - 2 uses.
2499. certified - 2 uses.
2500. worries - 2 uses.
2501. dunk - 2 uses.
2502. 4-12s - 2 uses.
2503. inches - 2 uses.
2504. gator - 2 uses.
2505. tires - 2 uses.
2506. yell - 2 uses.
2507. lesson - 2 uses.
2508. ss - 2 uses.
2509. neighbors - 2 uses.
2510. louder - 2 uses.
2511. pipes - 2 uses.
2512. impala - 2 uses.
2513. havent - 2 uses.
2514. theyd - 2 uses.
2515. levee - 2 uses.
2516. bail - 2 uses.
2517. bum - 2 uses.
2518. chuck - 2 uses.
2519. court - 2 uses.
2520. judge - 2 uses.
2521. runs - 2 uses.
2522. cell - 2 uses.
2523. saving - 2 uses.
2524. wasn’t - 2 uses.
2525. reading - 2 uses.
2526. texts - 2 uses.
2527. status - 2 uses.
2528. liking - 2 uses.
2529. yawning - 2 uses.
2530. spazzing - 2 uses.
2531. yelling - 2 uses.
2532. bangin - 2 uses.
2533. lovin’ - 2 uses.
2534. ooohh - 2 uses.
2535. 94 - 2 uses.
2536. molars - 2 uses.
2537. snortin - 2 uses.
2538. coca-cola - 2 uses.
2539. blowin - 2 uses.
2540. rep - 2 uses.
2541. blasphemy - 2 uses.
2542. blastin - 2 uses.
2543. bean - 2 uses.
2544. loyalty - 2 uses.
2545. features - 2 uses.
2546. yuh - 2 uses.
2547. mufuckin - 2 uses.
2548. stacking - 2 uses.
2549. africa - 2 uses.
2550. 10% - 2 uses.
2551. hercules - 2 uses.
2552. 33s - 2 uses.
2553. bath - 2 uses.
2554. goo - 2 uses.
2555. toota - 2 uses.
2556. poke - 2 uses.
2557. painted - 2 uses.
2558. throat - 2 uses.
2559. driveway - 2 uses.
2560. wished - 2 uses.
2561. scary - 2 uses.
2562. rounds - 2 uses.
2563. wouldn’t - 2 uses.
2564. pressed - 2 uses.
2565. sinners - 2 uses.
2566. outchea - 2 uses.
2567. supposedly - 2 uses.
2568. map - 2 uses.
2569. millions - 2 uses.
2570. patience - 2 uses.
2571. occasion - 2 uses.
2572. chips - 2 uses.
2573. ty - 2 uses.
2574. paul - 2 uses.
2575. $hort - 2 uses.
2576. super-cute - 2 uses.
2577. dropping - 2 uses.
2578. pecan - 2 uses.
2579. invited - 2 uses.
2580. 2001 - 2 uses.
2581. e-fizzles - 2 uses.
2582. fatty - 2 uses.
2583. laffy - 2 uses.
2584. taffy - 2 uses.
2585. popular - 2 uses.
2586. willy - 2 uses.
2587. nibble - 2 uses.
2588. pac-man - 2 uses.
2589. lickin - 2 uses.
2590. p-i-m-p - 2 uses.
2591. pedigree - 2 uses.
2592. strictly - 2 uses.
2593. payin - 2 uses.
2594. wantin - 2 uses.
2595. sight - 2 uses.
2596. shakin - 2 uses.
2597. simply - 2 uses.
2598. won - 2 uses.
2599. common - 2 uses.
2600. magnet - 2 uses.
2601. counselin - 2 uses.
2602. announcement - 2 uses.
2603. volkswagen - 2 uses.
2604. phil - 2 uses.
2605. outright - 2 uses.
2606. climbin - 2 uses.
2607. dishes - 2 uses.
2608. anythang - 2 uses.
2609. ronnies - 2 uses.
2610. separate - 2 uses.
2611. weather - 2 uses.
2612. stopping - 2 uses.
2613. backside - 2 uses.
2614. silver - 2 uses.
2615. drivin - 2 uses.
2616. aaah-ah - 2 uses.
2617. seconds - 2 uses.
2618. wing - 2 uses.
2619. ovation - 2 uses.
2620. roommate - 2 uses.
2621. cosy - 2 uses.
2622. x2 - 2 uses.
2623. labelle - 2 uses.
2624. stretch - 2 uses.
2625. migo - 2 uses.
2626. hangin - 2 uses.
2627. crunk - 2 uses.
2628. juice - 2 uses.
2629. pimping - 2 uses.
2630. fruit - 2 uses.
2631. ignoring - 2 uses.
2632. sour - 2 uses.
2633. treatment - 2 uses.
2634. slaves - 2 uses.
2635. missed - 2 uses.
2636. exclusive - 2 uses.
2637. jimmy - 2 uses.
2638. image - 2 uses.
2639. homeboys - 2 uses.
2640. martin - 2 uses.
2641. hall - 2 uses.
2642. killed - 2 uses.
2643. mistakes - 2 uses.
2644. wherever - 2 uses.
2645. vision - 2 uses.
2646. wash - 2 uses.
2647. praise - 2 uses.
2648. ea - 2 uses.
2649. earth - 2 uses.
2650. rollies - 2 uses.
2651. wild - 2 uses.
2652. yee - 2 uses.
2653. minimum - 2 uses.
2654. wage - 2 uses.
2655. beyond - 2 uses.
2656. smelly - 2 uses.
2657. 85 - 2 uses.
2658. ridiculous - 2 uses.
2659. yehehehe - 2 uses.
2660. fucka - 2 uses.
2661. r - 2 uses.
2662. rockin - 2 uses.
2663. blur - 2 uses.
2664. burner - 2 uses.
2665. average - 2 uses.
2666. wishin - 2 uses.
2667. cover - 2 uses.
2668. 1st - 2 uses.
2669. pumpin’ - 2 uses.
2670. public - 2 uses.
2671. fill - 2 uses.
2672. kitty - 2 uses.
2673. que - 2 uses.
2674. tu - 2 uses.
2675. darlin - 2 uses.
2676. bong - 2 uses.
2677. otherwise - 2 uses.
2678. penny - 2 uses.
2679. waves - 2 uses.
2680. beeeeeeeee - 2 uses.
2681. floatin - 2 uses.
2682. yeahhhhh - 2 uses.
2683. locker - 2 uses.
2684. bushes - 2 uses.
2685. he’s - 2 uses.
2686. mail - 2 uses.
2687. wreck - 2 uses.
2688. beer - 2 uses.
2689. youngbloodz - 2 uses.
2690. concert - 2 uses.
2691. addict - 2 uses.
2692. swinging - 2 uses.
2693. champagne - 2 uses.
2694. gummy - 2 uses.
2695. bear - 2 uses.
2696. york - 2 uses.
2697. seas - 2 uses.
2698. created - 2 uses.
2699. sworn - 2 uses.
2700. overdue - 2 uses.
2701. shower - 2 uses.
2702. lame-os - 2 uses.
2703. kinkos - 2 uses.
2704. imagine - 2 uses.
2705. dm - 2 uses.
2706. thata - 2 uses.
2707. rubbing - 2 uses.
2708. burning - 2 uses.
2709. wire - 2 uses.
2710. cat - 2 uses.
2711. mayne - 2 uses.
2712. cage - 2 uses.
2713. stopped - 2 uses.
2714. missouri - 2 uses.
2715. ashtray - 2 uses.
2716. ahhh - 2 uses.
2717. yay - 2 uses.
2718. s*** - 2 uses.
2719. therapy - 2 uses.
2720. ew - 2 uses.
2721. media - 2 uses.
2722. jackson - 2 uses.
2723. struggle - 2 uses.
2724. knowledge - 2 uses.
2725. melody - 2 uses.
2726. bros - 2 uses.
2727. that-that-that-that - 2 uses.
2728. clap-clap-clap-clap - 2 uses.
2729. anyday - 2 uses.
2730. dates - 2 uses.
2731. vanilla - 2 uses.
2732. lyriq - 2 uses.
2733. slob - 2 uses.
2734. timberlake - 2 uses.
2735. smiling - 2 uses.
2736. mainstage - 2 uses.
2737. papers - 2 uses.
2738. jamaica - 2 uses.
2739. built - 2 uses.
2740. replace - 2 uses.
2741. gross - 2 uses.
2742. thrown - 2 uses.
2743. og - 2 uses.
2744. greatest - 2 uses.
2745. womp - 2 uses.
2746. shelf - 2 uses.
2747. planet - 2 uses.
2748. xan - 2 uses.
2749. failed - 2 uses.
2750. quote - 2 uses.
2751. gathered - 2 uses.
2752. scratch - 2 uses.
2753. earthquake - 2 uses.
2754. eulogy - 2 uses.
2755. survive - 2 uses.
2756. community - 2 uses.
2757. rocket - 2 uses.
2758. paris - 2 uses.
2759. 745 - 2 uses.
2760. offer - 2 uses.
2761. cough - 2 uses.
2762. cellphone - 2 uses.
2763. hung - 2 uses.
2764. sail - 2 uses.
2765. chase - 2 uses.
2766. hollering - 2 uses.
2767. rise - 2 uses.
2768. fifa - 2 uses.
2769. junk - 2 uses.
2770. angels - 2 uses.
2771. didn’t - 2 uses.
2772. uncle - 2 uses.
2773. cream - 2 uses.
2774. operation - 2 uses.
2775. infatuated - 2 uses.
2776. sky - 2 uses.
2777. solve - 2 uses.
2778. places - 2 uses.
2779. dare - 2 uses.
2780. skees - 2 uses.
2781. packin - 2 uses.
2782. spendin - 2 uses.
2783. ooooo - 2 uses.
2784. oooooooo - 2 uses.
2785. consideration - 2 uses.
2786. determination - 2 uses.
2787. jewelry - 2 uses.
2788. curve - 2 uses.
2789. wood - 2 uses.
2790. huge - 2 uses.
2791. actually - 2 uses.
2792. freaks - 2 uses.
2793. tops - 2 uses.
2794. oooooh - 2 uses.
2795. badat - 2 uses.
2796. so-so - 2 uses.
2797. mmm-mmm-mmm - 2 uses.
2798. cleared - 2 uses.
2799. shawnna - 2 uses.
2800. goin’ - 2 uses.
2801. feelin’ - 2 uses.
2802. fab - 2 uses.
2803. rick - 2 uses.
2804. ross - 2 uses.
2805. finest - 2 uses.
2806. balenciaga - 2 uses.
2807. jerking - 2 uses.
2808. slanging - 2 uses.
2809. cop - 2 uses.
2810. pistol - 2 uses.
2811. uhhhh - 2 uses.
2812. gloss - 2 uses.
2813. clientele - 2 uses.
2814. snitching - 2 uses.
2815. becky - 2 uses.
2816. professional - 2 uses.
2817. calls - 2 uses.
2818. daylight - 2 uses.
2819. leggings - 2 uses.
2820. copyright - 2 uses.
2821. stolen - 2 uses.
2822. pouring - 2 uses.
2823. cosby - 2 uses.
2824. click - 2 uses.
2825. following - 2 uses.
2826. breath - 2 uses.
2827. weights - 2 uses.
2828. oclocks - 2 uses.
2829. wants - 2 uses.
2830. passing - 2 uses.
2831. match - 2 uses.
2832. ratched - 2 uses.
2833. tough - 2 uses.
2834. sweatin - 2 uses.
2835. roly - 2 uses.
2836. presence - 2 uses.
2837. applause - 2 uses.
2838. loved - 2 uses.
2839. spanish - 2 uses.
2840. flute - 2 uses.
2841. pluck - 2 uses.
2842. string - 2 uses.
2843. oreo - 2 uses.
2844. comatose - 2 uses.
2845. discussion - 2 uses.
2846. disgusting - 2 uses.
2847. readjustments - 2 uses.
2848. packed - 2 uses.
2849. collar - 2 uses.
2850. adada - 2 uses.
2851. wetter - 2 uses.
2852. brah - 2 uses.
2853. k - 2 uses.
2854. captain - 2 uses.
2855. banging - 2 uses.
2856. gotsta - 2 uses.
2857. meal - 2 uses.
2858. download - 2 uses.
2859. sidekick - 2 uses.
2860. fussin - 2 uses.
2861. caramba - 2 uses.
2862. fiesta - 2 uses.
2863. glow - 2 uses.
2864. rahhh - 2 uses.
2865. gs - 2 uses.
2866. approach - 2 uses.
2867. expression - 2 uses.
2868. bustas - 2 uses.
2869. flag - 2 uses.
2870. haiti - 2 uses.
2871. freakniks - 2 uses.
2872. invite - 2 uses.
2873. fighting - 2 uses.
2874. likkle - 2 uses.
2875. raaaaaaaaahhhhhhhhh - 2 uses.
2876. betcha - 2 uses.
2877. jet - 2 uses.
2878. kingston - 2 uses.
2879. jersey - 2 uses.
2880. hershey - 2 uses.
2881. rate - 2 uses.
2882. looked - 2 uses.
2883. yapp - 2 uses.
2884. strapped - 2 uses.
2885. clapping - 2 uses.
2886. parents - 2 uses.
2887. kevin - 2 uses.
2888. hart - 2 uses.
2889. mode - 2 uses.
2890. private - 2 uses.
2891. keke - 2 uses.
2892. lucky - 2 uses.
2893. idea - 2 uses.
2894. anybody - 2 uses.
2895. negativity - 2 uses.
2896. oou - 2 uses.
2897. seein - 2 uses.
2898. maybach - 2 uses.
2899. 2s - 2 uses.
2900. brag - 2 uses.
2901. swole - 2 uses.
2902. stuntin’ - 2 uses.
2903. drinkin’ - 2 uses.
2904. couldn’t - 2 uses.
2905. pause - 2 uses.
2906. rhyme - 2 uses.
2907. eeen - 2 uses.
2908. wondering - 2 uses.
2909. stayed - 2 uses.
2910. beasting - 2 uses.
2911. sending - 2 uses.
2912. kindly - 2 uses.
2913. lily - 2 uses.
2914. goodnight - 2 uses.
2915. 430 - 2 uses.
2916. biz - 2 uses.
2917. dizm - 2 uses.
2918. tay - 2 uses.
2919. reggae - 2 uses.
2920. spoke - 2 uses.
2921. schmood - 2 uses.
2922. fired - 2 uses.
2923. pr - 2 uses.
2924. staring - 2 uses.
2925. i’mma - 2 uses.
2926. privacy - 2 uses.
2927. hopped - 2 uses.
2928. rodeo - 2 uses.
2929. rope - 2 uses.
2930. tracks - 2 uses.
2931. thoroughbred - 2 uses.
2932. styling - 2 uses.
2933. months - 2 uses.
2934. dividends - 2 uses.
2935. knowin - 2 uses.
2936. harley - 2 uses.
2937. chained - 2 uses.
2938. brains - 2 uses.
2939. planes - 2 uses.
2940. shoutout - 2 uses.
2941. crawl - 2 uses.
2942. nutsack - 2 uses.
2943. field - 2 uses.
2944. moonwalkin - 2 uses.
2945. crippin - 2 uses.
2946. waitress - 2 uses.
2947. givenchy - 2 uses.
2948. basic - 2 uses.
2949. bracelet - 2 uses.
2950. bake - 2 uses.
2951. backstroke - 2 uses.
2952. cuts - 2 uses.
2953. “doctor - 2 uses.
2954. haven’t - 2 uses.
2955. long” - 2 uses.
2956. you” - 2 uses.
2957. cure - 2 uses.
2958. sister - 2 uses.
2959. training - 2 uses.
2960. guest - 2 uses.
2961. twinkle - 2 uses.
2962. gliss - 2 uses.
2963. yolo - 2 uses.
2964. desert - 2 uses.
2965. wi-wi-wi-wi-wishing - 2 uses.
2966. liked - 2 uses.
2967. thr33 - 2 uses.
2968. ringz - 2 uses.
2969. third - 2 uses.
2970. styles - 2 uses.
2971. rumors - 2 uses.
2972. picked - 2 uses.
2973. nothings - 2 uses.
2974. pairs - 2 uses.
2975. julio - 2 uses.
2976. headboard - 2 uses.
2977. glock - 2 uses.
2978. troubling - 2 uses.
2979. country - 2 uses.
2980. stank - 2 uses.
2981. swimming - 2 uses.
2982. congratulations - 2 uses.
2983. goodie - 2 uses.
2984. dome - 2 uses.
2985. bud - 2 uses.
2986. watchu - 2 uses.
2987. gain - 2 uses.
2988. others - 2 uses.
2989. shakin’ - 2 uses.
2990. like- - 2 uses.
2991. sittin’ - 2 uses.
2992. cutting - 2 uses.
2993. deuces - 2 uses.
2994. bringin - 2 uses.
2995. cork - 2 uses.
2996. skyrocket - 2 uses.
2997. cameras - 2 uses.
2998. getta - 2 uses.
2999. trill - 2 uses.
3000. breaded - 2 uses.
3001. visions - 2 uses.
3002. grass - 2 uses.
3003. snakes - 2 uses.
3004. heeeyy - 2 uses.
3005. diddy - 2 uses.
3006. ounce - 2 uses.
3007. toy - 2 uses.
3008. mothafucka - 2 uses.
3009. sideways - 2 uses.
3010. compete - 2 uses.
3011. immediately - 2 uses.
3012. crip - 2 uses.
3013. changin - 2 uses.
3014. definition - 2 uses.
3015. boats - 2 uses.
3016. jean - 2 uses.
3017. coach - 2 uses.
3018. stab - 2 uses.
3019. biddy - 2 uses.
3020. harm - 2 uses.
3021. luxury - 2 uses.
3022. hooo - 2 uses.
3023. aviona - 2 uses.
3024. generator - 2 uses.
3025. newspaper - 2 uses.
3026. hoops - 2 uses.
3027. winners - 2 uses.
3028. silly - 2 uses.
3029. bling-blingin - 2 uses.
3030. kinky - 2 uses.
3031. wicky-wicky - 2 uses.
3032. jiggy - 2 uses.
3033. daps - 2 uses.
3034. shush - 2 uses.
3035. partners - 2 uses.
3036. weave - 2 uses.
3037. market - 2 uses.
3038. spittin - 2 uses.
3039. lappy - 2 uses.
3040. blaw - 2 uses.
3041. underneath - 2 uses.
3042. 2pac - 2 uses.
3043. needing - 2 uses.
3044. hennesy - 2 uses.
3045. crunkest - 2 uses.
3046. loudest - 2 uses.
3047. likes - 2 uses.
3048. quo - 2 uses.
3049. slapping - 2 uses.
3050. derriøres - 2 uses.
3051. dominant - 2 uses.
3052. fuckin’ - 2 uses.
3053. bom - 2 uses.
3054. ‘em - 2 uses.
3055. percent - 2 uses.
3056. blucker - 2 uses.
3057. thumper - 2 uses.
3058. corona - 2 uses.
3059. patna - 2 uses.
3060. smearing - 2 uses.
3061. timeline - 2 uses.
3062. default - 2 uses.
3063. naww - 2 uses.
3064. sucker - 2 uses.
3065. bale - 2 uses.
3066. harbour - 2 uses.
3067. steaks - 2 uses.
3068. dean - 2 uses.
3069. beater - 2 uses.
3070. forty-five - 2 uses.
3071. share - 2 uses.
3072. crooked - 2 uses.
3073. grammys - 2 uses.
3074. trial - 2 uses.
3075. slippin - 2 uses.
3076. olly - 2 uses.
3077. iphones - 2 uses.
3078. escrit - 2 uses.
3079. muthafucking - 1 uses.
3080. considerate - 1 uses.
3081. clitoris - 1 uses.
3082. itty - 1 uses.
3083. committee - 1 uses.
3084. hanging - 1 uses.
3085. birds - 1 uses.
3086. atlanta - 1 uses.
3087. hawks - 1 uses.
3088. claus - 1 uses.
3089. pc - 1 uses.
3090. thigh - 1 uses.
3091. skip - 1 uses.
3092. locks - 1 uses.
3093. sheek - 1 uses.
3094. breasts - 1 uses.
3095. fright - 1 uses.
3096. bike - 1 uses.
3097. armour - 1 uses.
3098. shave - 1 uses.
3099. saul - 1 uses.
3100. remembered - 1 uses.
3101. division - 1 uses.
3102. mentally - 1 uses.
3103. prison - 1 uses.
3104. commission - 1 uses.
3105. kingdom - 1 uses.
3106. wisdom - 1 uses.
3107. empire - 1 uses.
3108. rising - 1 uses.
3109. enterprises - 1 uses.
3110. piling - 1 uses.
3111. autopilot - 1 uses.
3112. kinger - 1 uses.
3113. fears - 1 uses.
3114. uncut - 1 uses.
3115. somewhat - 1 uses.
3116. classes - 1 uses.
3117. drummers - 1 uses.
3118. cab - 1 uses.
3119. doggy - 1 uses.
3120. flat - 1 uses.
3121. longevity - 1 uses.
3122. bathrooms - 1 uses.
3123. speciality - 1 uses.
3124. half-ass - 1 uses.
3125. joes - 1 uses.
3126. badass - 1 uses.
3127. assure - 1 uses.
3128. disrespected - 1 uses.
3129. peer - 1 uses.
3130. windin - 1 uses.
3131. sweetest - 1 uses.
3132. iad - 1 uses.
3133. yak - 1 uses.
3134. motive - 1 uses.
3135. locomotive - 1 uses.
3136. strategy - 1 uses.
3137. moves - 1 uses.
3138. chess - 1 uses.
3139. pushin - 1 uses.
3140. amphetamines - 1 uses.
3141. grams - 1 uses.
3142. breakinback - 1 uses.
3143. saki - 1 uses.
3144. liftinup - 1 uses.
3145. mix - 1 uses.
3146. zoo - 1 uses.
3147. sonogram - 1 uses.
3148. billboards - 1 uses.
3149. bat - 1 uses.
3150. clement - 1 uses.
3151. pitch - 1 uses.
3152. erase - 1 uses.
3153. culture - 1 uses.
3154. 05 - 1 uses.
3155. minicoop - 1 uses.
3156. jockin - 1 uses.
3157. 200 - 1 uses.
3158. cept - 1 uses.
3159. rarely - 1 uses.
3160. m6 - 1 uses.
3161. billboard - 1 uses.
3162. charts - 1 uses.
3163. boogie - 1 uses.
3164. cutie - 1 uses.
3165. gurl - 1 uses.
3166. forrr - 1 uses.
3167. wis-canson - 1 uses.
3168. hapnin - 1 uses.
3169. ogn - 1 uses.
