Most used words by Mika: 
2202. couchent - 1 use.
2203. faufile - 1 use.
2204. loup - 1 use.
2205. sonne - 1 use.
2206. comtesse - 1 use.
2207. partie - 1 use.
2208. laissé - 1 use.
2209. driz - 1 use.
2210. laquais - 1 use.
2211. chinois - 1 use.
2212. poursuit - 1 use.
2213. tourmente - 1 use.
2214. appétit - 1 use.
2215. soudain - 1 use.
2216. creux - 1 use.
2217. sentier - 1 use.
2218. défaille - 1 use.
2219. tombant - 1 use.
2220. meurs - 1 use.
2221. moitié - 1 use.
2222. passez - 1 use.
2223. tends - 1 use.
2224. pitié - 1 use.
2225. voudrais - 1 use.
2226. manger - 1 use.
2227. dautres - 1 use.
2228. moustaches - 1 use.
2229. mont - 1 use.
2230. ami - 1 use.
2231. chanteur - 1 use.
2232. vagabond - 1 use.
2233. enfermer - 1 use.
2234. compte - 1 use.
2235. sauvé - 1 use.
2236. sois - 1 use.
2237. donc - 1 use.
2238. bénie - 1 use.
2239. grâce - 1 use.
2240. rendu - 1 use.
2241. lesprit - 1 use.
2242. pendu - 1 use.
2243. chemins - 1 use.
2244. fermes - 1 use.
2245. châteaux - 1 use.
2246. fantôme - 1 use.
2247. trouve - 1 use.
2248. rigolo - 1 use.
2249. thirty-nine - 1 use.
2250. degrees - 1 use.
2251. grass - 1 use.
2252. mellow - 1 use.
2253. faucet - 1 use.
2254. dripping - 1 use.
2255. clock - 1 use.
2256. ticking - 1 use.
2257. thigh - 1 use.
2258. temperatures - 1 use.
2259. heavy - 1 use.
2260. thick - 1 use.
2261. gasoline - 1 use.
2262. steady - 1 use.
2263. hotter - 1 use.
2264. campari - 1 use.
2265. soda - 1 use.
2266. nights - 1 use.
2267. blinding - 1 use.
2268. italy - 1 use.
2269. suspended - 1 use.
2270. moment - 1 use.
2271. seal - 1 use.
2272. tender - 1 use.
2273. fellini - 1 use.
2274. travel - 1 use.
2275. quest﻿-ce - 1 use.
2276. ﻿que - 1 use.
2277. veux-tu - 1 use.
2278. ﻿voilà - 1 use.
2279. oiseaux - 1 use.
2280. étoiles - 1 use.
2281. filantes - 1 use.
2282. damour - 1 use.
2283. refuse - 1 use.
2284. shabitue - 1 use.
2285. bat - 1 use.
2286. pa！ - 1 use.
2287. mots - 1 use.
2288. doux - 1 use.
2289. quest - 1 use.
2290. jen - 1 use.
2291. jveux - 1 use.
2292. soirs - 1 use.
2293. bizarre - 1 use.
2294. unfurl - 1 use.
2295. remnants - 1 use.
2296. human - 1 use.
2297. defences - 1 use.
2298. smiled - 1 use.
2299. givin - 1 use.
2300. waking - 1 use.
2301. midday - 1 use.
2302. treasure - 1 use.
2303. magpie - 1 use.
2304. glitter - 1 use.
2305. eins - 1 use.
2306. zwei - 1 use.
2307. drei - 1 use.
2308. vier - 1 use.
2309. nyc - 1 use.
2310. statue - 1 use.
2311. liberty - 1 use.
2312. symbolize - 1 use.
2313. mélodie - 1 use.
2314. poursuive - 1 use.
2315. rappelle - 1 use.
2316. cet - 1 use.
2317. enfer - 1 use.
2318. soublie - 1 use.
2319. ébloui - 1 use.
2320. necessary - 1 use.
2321. minds - 1 use.
2322. defenses - 1 use.
2323. ditches - 1 use.
2324. happiness - 1 use.
2325. ahead - 1 use.
2326. thirty - 1 use.
2327. hollywood - 1 use.
2328. melody - 1 use.
2329. symphony - 1 use.
2330. age-old - 1 use.
2331. changing - 1 use.
2332. complicated - 1 use.
2333. trophy - 1 use.
2334. respectable - 1 use.
2335. spectacle - 1 use.
2336. solution - 1 use.
2337. mothers - 1 use.
2338. delusion - 1 use.
2339. adorable - 1 use.
2340. pictures - 1 use.
2341. lebanon - 1 use.
2342. hater - 1 use.
2343. honest - 1 use.
2344. therere - 1 use.
2345. spoon - 1 use.
2346. financial - 1 use.
2347. social - 1 use.
2348. stable - 1 use.
2349. harmless - 1 use.
2350. diversion - 1 use.
2351. acceptable - 1 use.
2352. persian - 1 use.
2353. peril - 1 use.
2354. deal - 1 use.
2355. mistaken - 1 use.
2356. knows - 1 use.
2357. helping - 1 use.
2358. rivières - 1 use.
2359. prières - 1 use.
2360. dieux - 1 use.
2361. lenfer - 1 use.
2362. daussi - 1 use.
2363. orages - 1 use.
2364. voix - 1 use.
2365. rage - 1 use.
2366. contre - 1 use.
2367. feminine - 1 use.
2368. color - 1 use.
2369. sacred - 1 use.
2370. oceans - 1 use.
2371. daughters - 1 use.
2372. trust - 1 use.
2373. rainbows - 1 use.
2374. fair - 1 use.
2375. useful - 1 use.
2376. hottest - 1 use.
2377. beams - 1 use.
2378. joyful - 1 use.
2379. power - 1 use.
2380. lemon - 1 use.
2381. humans - 1 use.
2382. faithful - 1 use.
2383. truthful - 1 use.
2384. stream - 1 use.
2385. whip - 1 use.
2386. bridge - 1 use.
2387. up-down - 1 use.
2388. smallest - 1 use.
2389. size - 1 use.
2390. illustration - 1 use.
2391. points - 1 use.
2392. articulation - 1 use.
2393. brass - 1 use.
2394. wonderful - 1 use.
2395. plaything - 1 use.
2396. cross - 1 use.
2397. patched - 1 use.
2398. suit - 1 use.
2399. serious - 1 use.
2400. grown-up - 1 use.
2401. barbie - 1 use.
2402. toys - 1 use.
2403. sentimental - 1 use.
2404. rental - 1 use.
2405. meanest - 1 use.
2406. hag - 1 use.
2407. pulled - 1 use.
2408. insides - 1 use.
2409. safety - 1 use.
2410. pin - 1 use.
2411. sorest - 1 use.
2412. trash - 1 use.
2413. rags - 1 use.
2414. box - 1 use.
2415. longer - 1 use.
2416. voodoo - 1 use.
2417. pins - 1 use.
2418. accidentally - 1 use.
2419. remembering - 1 use.
2420. collar - 1 use.
2421. spending - 1 use.
2422. spare - 1 use.
2423. wasting - 1 use.
2424. dime - 1 use.
2425. circle - 1 use.
2426. juggling - 1 use.
2427. cage - 1 use.
2428. tiger - 1 use.
2429. cuts - 1 use.
2430. bruises - 1 use.
2431. trick - 1 use.
2432. pop - 1 use.
2433. curtain - 1 use.
2434. ripeto - 1 use.
2435. giusto - 1 use.
2436. dormire - 1 use.
2437. resta - 1 use.
2438. sveglio - 1 use.
2439. meglio - 1 use.
2440. deve - 1 use.
2441. ancora - 1 use.
2442. svanire - 1 use.
2443. sognare - 1 use.
2444. altro - 1 use.
2445. modo - 1 use.
2446. potersi - 1 use.
2447. rialzare - 1 use.
2448. pioggia - 1 use.
2449. cade - 1 use.
2450. senza - 1 use.
2451. farsi - 1 use.
2452. male - 1 use.
2453. siete - 1 use.
2454. usciti - 1 use.
2455. voce - 1 use.
2456. incerta - 1 use.
2457. entrati - 1 use.
2458. ferita - 1 use.
2459. aperta - 1 use.
2460. cicatrici - 1 use.
2461. dicono - 1 use.
2462. starcene - 1 use.
2463. fra - 1 use.
2464. deboli - 1 use.
2465. parliamo - 1 use.
2466. col - 1 use.
2467. linguaggio - 1 use.
2468. segni - 1 use.
2469. indelebili - 1 use.
2470. ieri - 1 use.
2471. ceri - 1 use.
2472. disturbi - 1 use.
2473. ereditari - 1 use.
2474. sfortunati - 1 use.
2475. ereditieri - 1 use.
2476. spesso - 1 use.
2477. giudica - 1 use.
2478. primo - 1 use.
2479. trucida - 1 use.
2480. quando - 1 use.
2481. lanciare - 1 use.
2482. sasso - 1 use.
2483. vale - 1 use.
2484. supplica - 1 use.
2485. hanno - 1 use.
2486. lhanno - 1 use.
2487. loro - 1 use.
2488. voglio - 1 use.
2489. gridare - 1 use.
2490. fortissimo - 1 use.
2491. schifo - 1 use.
2492. bellissimo - 1 use.
2493. prendo - 1 use.
2494. quei - 1 use.
2495. pezzi - 1 use.
2496. ho - 1 use.
2497. vissuto - 1 use.
2498. sbaglio - 1 use.
2499. li - 1 use.
2500. cambio - 1 use.
2501. emozioni - 1 use.
2502. piccolo - 1 use.
2503. taglio - 1 use.
2504. comunque - 1 use.
2505. chiuso - 1 use.
2506. bunker - 1 use.
2507. luce - 1 use.
2508. vede - 1 use.
2509. linizio - 1 use.
2510. tunnel - 1 use.
2511. pietra - 1 use.
2512. coda - 1 use.
2513. paglia - 1 use.
2514. stanchi - 1 use.
2515. rabbia - 1 use.
2516. mangiare - 1 use.
2517. polvere - 1 use.
2518. condirsi - 1 use.
2519. terra - 1 use.
2520. cerchiamo - 1 use.
2521. pace - 1 use.
2522. costo - 1 use.
2523. farvi - 1 use.
2524. guerra - 1 use.
2525. mila - 1 use.
2526. baci - 1 use.
2527. probabilmente - 1 use.
2528. giuda - 1 use.
2529. avrebbe - 1 use.
2530. sterminati - 1 use.
2531. inadeguati - 1 use.
2532. uno - 1 use.
2533. tanti - 1 use.
2534. unoccasione - 1 use.
2535. persa - 1 use.
2536. luomo - 1 use.
2537. ladro - 1 use.
2538. rimpianti - 1 use.
2539. rapaci - 1 use.
2540. nati - 1 use.
2541. lanimo - 1 use.
2542. colpevole - 1 use.
2543. denuncia - 1 use.
2544. tua - 1 use.
2545. felicità - 1 use.
2546. ingannevole - 1 use.
2547. tutti - 1 use.
2548. cresciuti - 1 use.
2549. dentro - 1 use.
2550. camere - 1 use.
2551. oscure - 1 use.
2552. ogni - 1 use.
2553. stronzo - 1 use.
2554. mente - 1 use.
2555. verità - 1 use.
2556. pure - 1 use.
2557. side - 1 use.
2558. angrier - 1 use.
2559. saving - 1 use.
2560. realized - 1 use.
2561. futures - 1 use.
2562. bastards - 1 use.
2563. finest - 1 use.
2564. company - 1 use.
2565. popular-ish - 1 use.
2566. pompom - 1 use.
2567. dunked - 1 use.
2568. uh - 1 use.
2569. huh - 1 use.
2570. fence - 1 use.
2571. wouldve - 1 use.
2572. emotional - 1 use.
2573. freakin - 1 use.
2574. dangerous - 1 use.
2575. obsession - 1 use.
2576. protection - 1 use.
2577. intention - 1 use.
2578. drove - 1 use.
2579. blasted - 1 use.
2580. silly - 1 use.
2581. sex - 1 use.
2582. mystery - 1 use.
2583. cleaning - 1 use.
2584. jaded - 1 use.
2585. borrow - 1 use.
2586. cheat - 1 use.
2587. steal - 1 use.
2588. picks - 1 use.
2589. spits - 1 use.
2590. bother - 1 use.
2591. oldest - 1 use.
2592. lololollala - 1 use.
2593. ass - 1 use.
2594. number - 1 use.
2595. millionaire - 1 use.
2596. emely - 1 use.
2597. advice - 1 use.
2598. smoking - 1 use.
2599. stench - 1 use.
2600. eight - 1 use.
2601. japanese - 1 use.
2602. praying - 1 use.
2603. peter - 1 use.
2604. dyou - 1 use.
2605. woke - 1 use.
2606. bathroom - 1 use.
2607. nursed - 1 use.
2608. nina - 1 use.
2609. simone - 1 use.
2610. reorganized - 1 use.
2611. record - 1 use.
2612. beer - 1 use.
2613. half-drunk - 1 use.
2614. alright - 1 use.
2615. snob - 1 use.
2616. regular - 1 use.
2617. fallen - 1 use.
2618. convincing - 1 use.
2619. haters - 1 use.
2620. supernatural - 1 use.
2621. force - 1 use.
2622. jungle - 1 use.
2623. everythings - 1 use.
2624. totally - 1 use.
2625. unprepared - 1 use.
2626. beginning - 1 use.
2627. greatest - 1 use.
2628. 81 - 1 use.
2629. ups - 1 use.
2630. downs - 1 use.
2631. gamblings - 1 use.
2632. russian - 1 use.
2633. roulette - 1 use.
2634. gun - 1 use.
2635. lower - 1 use.
2636. clarinet - 1 use.
2637. flies - 1 use.
2638. violins - 1 use.
2639. soar - 1 use.
2640. legs - 1 use.
2641. timpani - 1 use.
2642. roar - 1 use.
2643. nod - 1 use.
2644. sounds - 1 use.
2645. death - 1 use.
2646. alibi - 1 use.
2647. heads - 1 use.
2648. fault - 1 use.
2649. toss - 1 use.
2650. weeks - 1 use.
2651. small-town - 1 use.
2652. raised - 1 use.
2653. south - 1 use.
2654. detroit - 1 use.
2655. singer - 1 use.
2656. smokey - 1 use.
2657. cheap - 1 use.
2658. perfume - 1 use.
2659. workin - 1 use.
2660. fill - 1 use.
2661. thrill - 1 use.
2662. payin - 1 use.
2663. trees - 1 use.
2664. planted - 1 use.
2665. finish - 1 use.
2666. mmmm - 1 use.
2667. science - 1 use.
2668. class - 1 use.
2669. floating - 1 use.
2670. boom - 1 use.
2671. sorrows - 1 use.
2672. two-seater - 1 use.
2673. sofa - 1 use.
2674. whiskey - 1 use.
2675. weight - 1 use.
2676. sam - 1 use.
2677. wifes - 1 use.
2678. year - 1 use.
2679. daughter - 1 use.
2680. acapulco - 1 use.
2681. idiot - 1 use.
2682. months - 1 use.
2683. ago - 1 use.
2684. watchers - 1 use.
2685. doers - 1 use.
2686. watcher - 1 use.
2687. hurled - 1 use.
2688. risky - 1 use.
2689. situation - 1 use.
2690. lifes - 1 use.
2691. colder - 1 use.
2692. surprise - 1 use.
2693. misunderstood - 1 use.
2694. underground - 1 use.
2695. spirit - 1 use.
2696. watching - 1 use.
2697. behave - 1 use.
2698. slut - 1 use.
2699. preach - 1 use.
2700. teach - 1 use.
2701. breach - 1 use.
2702. nostrum - 1 use.
2703. dione - 1 use.
2704. madre - 1 use.
2705. esso - 1 use.
2706. sancto - 1 use.
2707. spirito - 1 use.
2708. adam - 1 use.
2709. eve - 1 use.
2710. tree - 1 use.
2711. deserved - 1 use.
2712. pride - 1 use.
2713. leaf - 1 use.
2714. aside - 1 use.
2715. cane - 1 use.
2716. leaves - 1 use.
2717. drowning - 1 use.
2718. psychotic - 1 use.
2719. barney - 1 use.
2720. rap - 1 use.
2721. pom-pom - 1 use.
2722. mh - 1 use.
2723. dunk - 1 use.
2724. everyones - 1 use.
2725. uh-huh - 1 use.
2726. lazy - 1 use.
2727. faggot - 1 use.
2728. fugazi - 1 use.
2729. loser - 1 use.
2730. ignoring - 1 use.
2731. confrontation - 1 use.
2732. compromise - 1 use.
2733. colours - 1 use.
2734. surround - 1 use.
2735. excuses - 1 use.
2736. dodgy - 1 use.
2737. newly - 1 use.
2738. faith - 1 use.
2739. earthly - 1 use.
2740. bound - 1 use.
2741. island - 1 use.
2742. coast - 1 use.
2743. mexico - 1 use.
2744. journey - 1 use.
2745. travels - 1 use.
2746. girlie - 1 use.
2747. shared - 1 use.
2748. burden - 1 use.
2749. difficult - 1 use.
2750. lovebirds - 1 use.
2751. sting - 1 use.
2752. danger - 1 use.
2753. minute - 1 use.
2754. reel - 1 use.
2755. physical - 1 use.
2756. sometimes - 1 use.
2757. argue - 1 use.
2758. disagree - 1 use.
2759. personality - 1 use.
2760. talked - 1 use.
2761. mr - 1 use.
2762. smith - 1 use.
2763. reduced - 1 use.
2764. attract - 1 use.
2765. repulse - 1 use.
2766. queasy - 1 use.
2767. dirty - 1 use.
2768. flirty - 1 use.
2769. wholesome - 1 use.
2770. loathsome - 1 use.
2771. shy - 1 use.
2772. solve - 1 use.
2773. brink - 1 use.
2774. bend - 1 use.
2775. shelf - 1 use.
2776. satisfy - 1 use.
2777. humphry - 1 use.
2778. cha-ching - 1 use.
2779. parade - 1 use.
2780. rising - 1 use.
2781. marching - 1 use.
2782. band - 1 use.
2783. illusions - 1 use.
2784. commands - 1 use.
2785. instead - 1 use.
2786. numbers - 1 use.
2787. shoes - 1 use.
2788. summer - 1 use.
2789. given - 1 use.
2790. chosen - 1 use.
2791. persons - 1 use.
2792. mans - 1 use.
2793. deeper - 1 use.
2794. debt - 1 use.
2795. amend - 1 use.
2796. cercherò - 1 use.
2797. scusa - 1 use.
2798. sentirmi - 1 use.
2799. fragile - 1 use.
2800. perchè - 1 use.
2801. fai - 1 use.
2802. paura - 1 use.
2803. ha - 1 use.
2804. vuole - 1 use.
2805. vorrei - 1 use.
2806. soltanto - 1 use.
2807. graffi - 1 use.
2808. sulla - 1 use.
2809. schiena - 1 use.
2810. nel - 1 use.
2811. retrovisore - 1 use.
2812. macchina - 1 use.
2813. radio - 1 use.
2814. accesa - 1 use.
2815. così - 1 use.
2816. chiaro - 1 use.
2817. quindi - 1 use.
2818. restiamo - 1 use.
2819. confusi - 1 use.
2820. fosse - 1 use.
2821. vecchio - 1 use.
2822. film - 1 use.
2823. due - 1 use.
2824. amanti - 1 use.
2825. sconosciuti - 1 use.
2826. parlo - 1 use.
2827. poco - 1 use.
2828. sembro - 1 use.
2829. deen - 1 use.
2830. troppo - 1 use.
2831. oggi - 1 use.
2832. chissà - 1 use.
2833. sarà - 1 use.
2834. vedo - 1 use.
2835. resti - 1 use.
2836. solo - 1 use.
2837. tremo - 1 use.
2838. saremo - 1 use.
2839. felici - 1 use.
2840. diremo - 1 use.
2841. nessuno - 1 use.
2842. sunny - 1 use.
2843. hooking - 1 use.
2844. breaking - 1 use.
2845. bores - 1 use.
2846. gorgeous - 1 use.
2847. filled - 1 use.
2848. double - 1 use.
2849. d - 1 use.
2850. wounded - 1 use.
2851. soldier - 1 use.
2852. bars - 1 use.
2853. guitar - 1 use.
2854. warn - 1 use.
2855. phonies - 1 use.
2856. painted - 1 use.
2857. ponies - 1 use.
2858. ridden - 1 use.
2859. april - 1 use.
2860. champagne - 1 use.
2861. toast - 1 use.
2862. tricky - 1 use.
2863. beggars - 1 use.
2864. picky - 1 use.
2865. lookin - 1 use.
2866. rollin - 1 use.
2867. sugar - 1 use.
2868. daddy - 1 use.
2869. munter - 1 use.
2870. goodness - 1 use.
2871. choose - 1 use.
2872. outline - 1 use.
2873. drawn - 1 use.
2874. still-there-monday-morning - 1 use.
2875. dramatic - 1 use.
2876. declarations - 1 use.
2877. finds - 1 use.
2878. bunch - 1 use.
2879. doves - 1 use.
2880. dont-know-what-theyre-missing - 1 use.
2881. colors - 1 use.
2882. gray - 1 use.
2883. dull - 1 use.
2884. spoken - 1 use.
2885. revolves - 1 use.
2886. blows - 1 use.
2887. resolution - 1 use.
2888. confession - 1 use.
2889. penance - 1 use.
2890. punish - 1 use.
2891. skinny - 1 use.
2892. innocent - 1 use.
2893. consequences - 1 use.
2894. road - 1 use.
2895. leads - 1 use.
2896. regret - 1 use.
2897. stereo - 1 use.
2898. lyin - 1 use.
2899. stratchin - 1 use.
2900. nervous - 1 use.
2901. t-shirt - 1 use.
2902. breeze - 1 use.
2903. comin - 1 use.
2904. leather - 1 use.
2905. catchin - 1 use.
2906. fierté - 1 use.
2907. soulever - 1 use.
2908. faute - 1 use.
2909. celle - 1 use.
2910. rejette - 1 use.
2911. fois - 1 use.
2912. saute - 1 use.
2913. sera-t-il - 1 use.
2914. guetter - 1 use.
2915. glisse - 1 use.
2916. brisera - 1 use.
2917. lien - 1 use.
2918. assis - 1 use.
2919. précipice - 1 use.
2920. lapprendra - 1 use.
2921. rencontrent - 1 use.
2922. fières - 1 use.
2923. souvenir - 1 use.
2924. glace - 1 use.
2925. analyses - 1 use.
2926. magistrales - 1 use.
2927. figé - 1 use.
2928. menace - 1 use.
2929. jespère - 1 use.
2930. blancheur - 1 use.
2931. tombée - 1 use.
2932. lespace - 1 use.
2933. vacarme - 1 use.
2934. disparaitra - 1 use.
2935. évanoui - 1 use.
2936. perdu - 1 use.
2937. confusion - 1 use.
2938. générale - 1 use.
2939. pourrit - 1 use.
2940. carcasse - 1 use.
2941. chaleur - 1 use.
2942. tropicale - 1 use.
2943. parfois - 1 use.
2944. dégueulasse - 1 use.
2945. aigri - 1 use.
2946. haine - 1 use.
2947. passent - 1 use.
2948. serons - 1 use.
2949. guéris - 1 use.
2950. lété - 1 use.
2951. retour - 1 use.
2952. pourra - 1 use.
2953. peut-être - 1 use.
2954. linstant - 1 use.
2955. beaucoup - 1 use.
2956. lourd - 1 use.
2957. games - 1 use.
2958. shout - 1 use.
2959. sand - 1 use.
2960. throwing - 1 use.
2961. offert - 1 use.
2962. roses - 1 use.
2963. envoyée - 1 use.
2964. dssus - 1 use.
2965. pause - 1 use.
2966. continue - 1 use.
2967. campagne - 1 use.
2968. habite - 1 use.
2969. gainsbourg - 1 use.
2970. tai - 1 use.
2971. mis - 1 use.
2972. booba - 1 use.
2973. dla - 1 use.
2974. zumba - 1 use.
2975. garçon - 1 use.
2976. applé - 1 use.
2977. suzie - 1 use.
2978. maris - 1 use.
2979. disent - 1 use.
2980. chantant - 1 use.
2981. lcon - 1 use.
2982. croies - 1 use.
2983. pérou - 1 use.
2984. bonnet - 1 use.
2985. grandroue - 1 use.
2986. tourniquet - 1 use.
2987. amant - 1 use.
2988. cquon - 1 use.
2989. gentil - 1 use.
2990. nid - 1 use.
2991. chéri - 1 use.
2992. lévasion - 1 use.
2993. achté - 1 use.
2994. kiwis - 1 use.
2995. mer - 1 use.
2996. rome - 1 use.
2997. parcque - 1 use.
2998. voit - 1 use.
2999. upbeat - 1 use.
3000. hunger - 1 use.
3001. rely - 1 use.
3002. screams - 1 use.
3003. because - 1 use.
3004. mamas - 1 use.
3005. ignored - 1 use.
3006. daddys - 1 use.
3007. lay - 1 use.
3008. asleep - 1 use.
3009. heartbreaker - 1 use.
3010. doctor - 1 use.
3011. obvious - 1 use.
3012. insecure - 1 use.
3013. grave - 1 use.
3014. soon - 1 use.
3015. voice - 1 use.
3016. hesitate - 1 use.
3017. button - 1 use.
3018. rent - 1 use.
3019. paid - 1 use.
3020. clean - 1 use.
3021. wed - 1 use.
3022. tangled - 1 use.
3023. sheets - 1 use.
3024. trigger - 1 use.
3025. early - 1 use.
3026. morn - 1 use.
3027. flick - 1 use.
3028. sleepy - 1 use.
3029. peek - 1 use.
3030. blinds - 1 use.
3031. motionless - 1 use.
3032. remains - 1 use.
3033. shame - 1 use.
3034. trail - 1 use.
3035. stuff - 1 use.
3036. allowed - 1 use.
3037. strikes - 1 use.
